Album,Song,Year,Run-time,Featured artist(s),Writer(s),Skit,Lyrics
The College Dropout,The New Workout Plan,2004,5:22,"Kanye West, John Stephens, Bosco Kante, Sumeke Rainey, Miri Ben-Ari",,N,"[Intro: Kanye West]
You just popped in the Kanye West
Get Right for the Summer workout tape
And ladies if you follow these instructions exactly
You might be able to pull you a rapper, a NBA player
Man, at least a dude with a car
So first of all we gonna work on the stomach
Nobody wants a little tight ass

[Verse 1: Kanye West]
1, and 2, and 3, and 4, and get them sit ups right, and
Tuck your tummy tight and do your crunches like this
Give head, stop breathe, get up, check your weave
Don't drop the blunt and disrespect the weed
Pick up your son and don't disrespect your seed
It's a party tonight and ooh she's so excited
Tell me who's invited: you, your friends and my dick
What's scary to me is
Henny makes girls look like Halle Berry to me
So excuse me miss, I forgot your name
Thank you, God bless you, good night I came, I came, I came

[Hook: Kanye West]
It's been a week without me
And she feel weak without me
She wanna talk it out but
Ain't nothing to talk about
Unless she's talking about freaking out
Then maybe we can work it out
Work it out
Work it out
Work it out
Work it out now
Maybe we can work it out


[Verse 2: Kanye West]
Oh girl your silhouette make me wanna light a cigarette
My name Kanye from the Jigga set
Twista said ""Get It Wet""
Ooh girl your breath is harsh!
Cover your mouth up like you got SARS
Off them tracks yea I bought them cars
Still kill a nigga on 16 bars
We ain't sweating to the oldies
We juking to a cold beat
Maybe one day girl we can bone
So you can brag to all your homies now
But I still mess with a big girl
If you ain't fit girl, I'll still hit girl
1 and you brought 2 friends
OK, 3 more now hop in the Benz
4-door - do you know the difference between a 5, 6, 7, 8
All the mocha lattes you gotta do Pilates
You gotta pop this tape in before you start back dating
Hustlers, gangstas, all us ballas

[Interlude]

[Hook: Kanye West]
It's been a week without me
And she feel weak without me
She wanna talk it out but
Ain't nothing to talk about
Unless she's talking about freaking out
Then maybe we can work it out
Work it out
Work it out
Work it out
Work it out now
Maybe we can work it out

[Jill]
Hi, my name is Jill, I just want to say thanks to
Kanye's workout plan. I was able to pull a NBA player
And like now I shop every day on Rodeo Drive
I just want to say, thank you Kanye! Woooo! Woooo! Woooo!

[Lasandra]
My name is Lasandra, and I just want to say
That ever since listening to Kanye's workout tape
I was able to get my phone bill paid, I got sounds and 13's
Put up in my Cavalier and I was able to get a free trip to Cancun
And what's most importantly is that I ain't gotta fuck with Ray-Ray's
Broke ass no mo'

[Kanye West]
Work it out
Juke it out
Pump it out
Shut 'em out
Let's go out

[Ella-May]
My name is Ella-May from Mobile, Alabama
And I just want to say since listening to Kanye's workout tape
I been able to date outside the family, I got a double wide
And I rode the plane, rode the plane, rode the plane

[Girls]
Thanks to Kanye's workout plan
I'm the envy of all my friends
See I pulled me a baller man
And I ain't gotta work at the mall again

[Kanye West]
(Lemme break ya wit' a piece of)
My favorite work out plan (oh! oh! oh!)
I wanna see you work out (yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah)
I wanna see you work out
It's like that old Michael Jackson shit

That's right put in work, move your ass, go berserk
Eat your salad, no dessert
Get that man you deserve
It's Kanye's workout plan
I said it's Kanye's workout plan (Ladies and gentlemen)
It's Kanye's workout plan (Allow myself to introduce myself)
His woooorrrrkkoouut plan (This time around I want y'all to clap like this)

That's right, put in work
Move your ass, go berserk
Eat your salad, no dessert
Get that man you deserve (Stop!)
It's Kanye's workout plan (Ok breathe)
I said it's Kanye's workout plan (I know y'all ain't tired)
It's Kanye's workout plan (But I hope not, 'cuz on this one I need ya)
His woooorrrrkkoouut plan (To give me a soul clap ok? Double time)

That's right, put in work (Woo!)
Move your ass, go berserk (Ow!)
Eat your salad, no dessert (Ugh!)
Get that man you deserve

That's right, put in work (Put in work)
Move your ass, go berserk (Go wizzerk)
Eat your salad, no dessert (No dessert)
Get that man you deserve (You hear, ugh)

That's right, put in work (That's right put in work)
Move your ass, go berserk (Go wizzerk)
Eat your salad, no dessert (Eat your salad, no dessert)
Get that man you deserve (Woo!)

(Okay, okay, okay, that's, that'd be good)
(I appreciate your time)
I want to see you work out for me
Woah, yeah"
The College Dropout,Slow Jamz,2004,5:16,"Twista, Jamie Foxx","Kanye West, Carl Mitchell, Burt Bacharach, Hal David",N,"[Intro: Jamie Foxx]
Kanye, it's Foxx, man
I'm just sayin' I was talkin' to the girls you know
And we don't put enough emphasis on the ladies sometime
You know, I was talkin' to this girl
She was talkin' about the music all fast in the club you know
She gotta drink water cause she thirsty
She danced like ninety-two hundred songs back to back
With ain't nobody really try to find out what she feelin'
Like how she feel... you know what she told me?
Are you gonna be? (Check it out, this is what she said)
Say that you're gonna be (Oooo, oooo, oooo, oooo, oooooo)

[Hook: Jamie Foxx (Luther)]
She said she want some Marvin Gaye, some Luther Vandross
A little Anita will definitely set this party off right
(are you gonna be, are you gonna be, are you gonna be
Are you gonna be, are you gonna be, well well well well)
She said she want some Ready For The World, some New Edition
Some Minnie Riperton will definitely set this party off right
(are you gonna be, are you gonna be, are you gonna be
Are you gonna be, are you gonna be, well well well well)

[Verse 1: Kanye West]
It definitely will
You know what I told her
I told her to drive over in yo new whip, bring some friends you cool wit
I'mma bring the cool whip, then I want you to strip
See you is my new chick, so we get our grind on
She be grabbin' me, callin' me Biggie like Shyne home
Man I swear she fine homes, why she always lyin' though?
Tellin' me them diamonds, when she know they rhinestones
She got a light-skinned friend look like Michael Jackson
Got a dark-skinned friend look like Michael Jackson
I played Ready For The World, she was ready for some action
My dog said you ain't no freak , so you bout to prove my man wrong
I'mma play this Vandross, you gon' take yo pants off
I'mma play this Gladys Knight, me and you gon' get right

[Hook: Jamie Foxx (Luther)]
She said she want some Marvin Gaye, some Luther Vandross
A little Anita will definitely set this party off right
(are you gonna be, are you gonna be, are you gonna be
Are you gonna be, are you gonna be, well well well well)
She said she want some Ready For The World, some New Edition
Some Minnie Riperton will definitely set this party off right
(are you gonna be, are you gonna be, are you gonna be
Are you gonna be, are you gonna be, well well well well)

[Bridge: Jamie Foxx]
Smokey Robinson
Smokey Robinson
Freddie Jackson
Everything, everything (Well well well well)
Smokey Robinson
Ashford & Simpson (Are you gonna be)
Set the party, really set the party off right
(are you gonna be, are you gonna be, are you gonna be
Are you gonna be, are you gonna be)
Yes it will, yes it will (Well well well well)
Al Green, OH!
Al Green, OHHHHH YEAH!!!
OOOOOOOOOOOOOO!!!
Whatcha know about the Isley Brothers?

[Aisha Tyler]
Now Kanye, I know I told you to slow it down
It's good, it's all good, it's beautiful
But now I need you to do it faster baby
Can you please - do it faster, baby, do it faster

[Kanye West]
Damn baby, I can't do it that fast but I know somebody who can, Twista!

[Verse 2: Twista]
Got you looking at the glist on my hands and wrist
While I'm layin' back and smoking on my cannabis
When it come to rockin' the rhythm like Marvin and Luther
I can tell you ain't no messin' with Kan man and Twist
In the Chi and I be sippin' Hennessy - play some R&B
While I smoke a b - you can preferably find that I'm a G
And all this (well well well well)
Come wit me and sip on some Evelyn Champagne
You ain't know Twista could work it like the Whispers?
Hit the stoplight, move it to some Isleys
Rims still movin' so I bump a lil' Spinners
While I'm smoking on a b - dippin' through the streets
Bumpin' R&B - and I got the heat - on the 23's
And I do it (well well well well)
Wit my Earth in the Wind smoking Fire
Let me get ya sheets wet listenin' to Keith Sweat
Put you in a daze wit Maze
Fulfilling her wit every temptation, slow jam, and havin' deep sex
You ready for the world girl, come on go wit me
I touch you all over your body baby don't say no to me
And every moment be controlling me
I love the way you be holdin' me when I be listenin' to Jodeci
And when I come over and bend ya ass, you be bumpin' Teddy Pendergrass
I done hit it from the back, to the melody and rode it slow
Now I got to go up in it fast, but I'mma finish last
No matter how much of a thug you see
I still spit it like it's R&B, come to the club wit me
And when some Luther come on I hope you feelin' me
And still will be in love wit me

[Hook: Jamie Foxx (Luther)]
She said she want some Marvin Gaye, some Luther Vandross
A little Anita will definitely set this party off right
(are you gonna be, are you gonna be, are you gonna be
Are you gonna be, are you gonna be, well well well well)
She said she want some Ready For The World, some New Edition
Some Minnie Riperton will definitely set this party off right
(are you gonna be, are you gonna be, are you gonna be
Are you gonna be, are you gonna be, well well well well)

[Bridge 2: Jamie Foxx ad-libs (w/ female singer)]

[Hook: Jamie Foxx (Luther)]
She said she want some Marvin Gaye, some Luther Vandross
A little Anita will definitely set this party off right
(are you gonna be, are you gonna be, are you gonna be
Are you gonna be, are you gonna be, well well well well)
She said she want some Ready For The World, some New Edition
Some Minnie Riperton will definitely set this party off right
(are you gonna be, are you gonna be, are you gonna be
Are you gonna be, are you gonna be, well well well well)"
The College Dropout,Breathe in Breathe Out,2004,4:06,Ludacris,"Kanye West. Brian ""All Day"" West, Miller Miller",N,"[Hook: Ludacris]
Yeah, breathe in, breathe out
If ya iced up, pull ya sleeves out
Push a big truck, pull ya keys out
Girls go wild and pull ya D's out
Breathe in, breathe out
Let them hoes fight, pull her weave out
If a nigga act up, pull a Desert E's out
When I pull the piece out niggas like ""Peace out!""

[Verse 1: Kanye West]
Golly, more of that bullshit ice rap
I got to 'pologize to Mos and Kweli (probably)
But is it cool to rap about gold
If I told the world I copped it from Ghana and Mali? (Mali!)
First nigga with a Benz and a backpack
Ice chain, Carti lens, and a knapsack
Always said if I rapped I'd say somethin' significant
But now I'm rappin' 'bout money, hoes, and rims again
And it's still about the Benjamins
Big faced hundreds and whatever other synonyms
Strippers named Cinnamon
More chips than Pentium
What'cha gon' buy next? Whatever new trend it is
I'm tryin' to spend my stacks
And I'm so broke I look back like ""Damn, was I on crack?""
I mean twelve platinum chains, was I on that?
What the hell was wrong with me dog?
Sing along with me y'all

[Hook: Ludacris]
Yeah, breathe in, breathe out
If ya iced up, pull ya sleeves out
Push a big truck, pull ya keys out
Girls go wild and pull ya D's out
Breathe in, breathe out
Let them hoes fight, pull her weave out
If a nigga act up, pull a Desert E's out
When I pull the piece out niggas like ""Peace out!""

[Verse 2: Kanye West]
Now even though I went to college and dropped out of school quick
I always had a PhD: a pretty huge dick
Ladies tired of gettin' ripped off by guys like this
And givin' head is like a whale that's usin' a toothpick
Well, I'm in the club for a limited time
Act now and get some action for $free.99
Later on I might charge for ménage
Heard her man was the boss of the floss
But she still want to toss me the drawers
And it ain't gon' cost me because she my caddy
Cuz she grabbed my golf balls in the club
And I'm still actin' calm den-a-muhh
She asked ""Can you drive me in the hundreds where my Altima was?""
While we drive she tellin' me 'bout problems with her man
Baby I fully understand
Let me help you with a plan
While he trickin' off, don't get no rich nigga
Give me some head, that'll really piss him off

[Hook: Ludacris]
Yeah, breathe in, breathe out
If ya iced up, pull ya sleeves out
Push a big truck, pull ya keys out
Girls go wild and pull ya D's out
Breathe in, breathe out
Let them hoes fight, pull her weave out
If a nigga act up, pull a Desert E's out
When I pull the piece out niggas like ""Peace out!""

[Verse 3: Kanye West]
I blow past low class niggas with no cash
In the four dot six, bitch you can go ask
So when I go fast popo just laugh
Right until I run out of gas or 'til I go crash
Whatever comes first I'm prepared for the worst
Whatever comes second I'll be there with my weapon
Pullin' up in the Lexuses, one on both hand
So I guess them GSes was ambidextrous
Coulda sworn her breasteses was sendin' me messages
""K I need a free hand mammogram
I got weed, drink, and a Handicam
All of which is legal in Amsterdam""
So say my name like Candyman
And I'mma come and fix you up like the handyman
But if you don't need a fix, girl you gotta leave
You can't take that all at one time ya gotta breathe

[Hook: Ludacris]
Yeah, breathe in, breathe out
If ya iced up, pull ya sleeves out
Push a big truck, pull ya keys out
Girls go wild and pull ya D's out
Breathe in, breathe out
Let them hoes fight, pull her weave out
If a nigga act up, pull a Desert E's out
When I pull the piece out niggas like ""Peace out!""

[Outro]
""And you say Chi city?"" scratched repeatedly"
The College Dropout,School Spirit (Skit 1),2004,1:18,,Kanye West,Y,"[Skit 1: DeRay Davis]
Now beat that!
And your mother's saying ""Go to college""
So you finish college and it's wonderful
You feel so good
And after all the partying and craziness
And don't forget about that drug habit you picked up at school being around your peers
Hey!
Now you'll get that 25-thousand dollar job a year
And you'll spend all your money on crack cocaine
But, it'll be YOUR money
No more borrowing from mom for my high!
So now you get your degree tattooed on your back
Cause you're so excited about it
If you continue to work at the Gap, after several interviews, oh my God
You'll come in at a entry-level position
And when you do that
If you kiss enough ass
You'll move up to the next level
Which is being the secretary's secretary
And boy is that great
You can take messages for the secretary
Who NEVER went to college
She's actually the boss's niece!
So now you're part of the family
You know what college does for you?
It makes you really smart, man
All you kids wanted to talk in the back of the class
Not me, I listened
Okay?
I was a hall monitor
This was meant to be
You know how many classes I took?
Extra classes, extra classes
No, I've never had sex
But you know what?
My degree keeps me satisfied
When a lady walks up to me and says
""Hey, you know what's sexy?""
No, I don't know what it is
But I bet I can add up all the change in your purse
Very fast"
The College Dropout,School Spirit,2004,3:02,,"Kanye West, Aretha Franklin",N,"School spirit, motherfucker

[Hook]
Alpha, step
Omega, step
Kappa, step
Sigma, step
Gangstas walk
Pimps gon' talk
Ooh, hecky nah, that boy is raw
AKA, step
Delta, step
S.G. Rho, step
Zeta, step
Gangstas walk
Pimps gon' talk
Ooh, hecky nah, that boy is raw

[Verse 1]
I'mma get on this TV, mama
I'mma, I'mma put shit down
I'mma make sure these light-skinned niggas
Never, ever, never come back in style
Told 'em I finished school and I started my own business
They say ""Oh you graduated?"" No, I decided I was finished
Chasing y'all dreams and what you've got planned
Now I spit it so hot, you got tanned
Back to school and I hate it there, I hate it there
Everything I want, I gotta wait a year, I wait a year
This nigga graduated at the top of our class
I went to Cheesecake, he was a motherfucking waiter there

[Hook]
Alpha, step
Omega, step
Kappa, step
Sigma, step
Gangstas walk
Pimps gon' talk
Ooh, hecky nah, that boy is raw
AKA, step
Delta, step
S.G. Rho, step
Zeta, step
Gangstas walk
Pimps gon' talk
Ooh, hecky nah, that boy is raw

[Verse 2]
I got a Jones like Norah for your soror
Bring more of them girls I've seen in The Aurora
Tammy, Becky, and Laura, or a Shirley
I'm trying to hit it early, like I'm in a hurry
See, that's how dude became the young Pootie Tang: ""tippy tow""
Roc-a-fella chain, yeah that's my rapper style
Rosary piece, yeah that's my Catholic style
Red and white One's, yeah that's my Kappa style
And I ain't even pledge
Crack my head on the steering wheel and I ain't even dead
If I could go through all that and still be breathing
Bitch bend over, I'm here for a reason

[Hook]
Alpha, step
Omega, step
Kappa, step
Sigma, step
Gangstas walk
Pimps gon' talk
Ooh, hecky nah, that boy is raw
AKA, step
Delta, step
S.G. Rho, step
Zeta, step
Gangstas walk
Pimps gon' talk
Ooh, hecky nah, that boy is raw

[Outro]
I feel a woo coming on, cuz
I feel a woo coming on, cuz
WOO
There it was
I feel some woos coming on, cuz
A couple woos coming on, cuz
WOO, WOO
There they was
I feel a woo coming on, cuz
I feel a woo coming on, cuz
WOO
There it was
I feel some woos coming on, cuz
A couple woos coming on, cuz
WOO, WOO
There they was"
The College Dropout,School Spirit (Skit 2),2004,0:43,,Kanye West,Y,"You keep it going man
You keep those books rolling
You pick up all those books that you're gonna read and not remember
And you roll, man
You get that associate's degree, okay?
Then you get your bachelor's
Then you get your masters
Then you get your masters' masters
Then you get your doctorate
You go man!
And then when everyone says quit
You show them those degrees, man
When everyone says ""Hey, you're not working, you're not making any money""
You say ""You look at my degrees, and you look at my life
Yeah, I'm 52! So what?
Hate all you want, but I'm smart, I'm so smart
And I'm in school
All these guys out here making money all these ways
And I'm spending mine to be smart!
You know why?
Cause when I die buddy
You know what's gonna keep me warm?
That's right, those degrees."""
The College Dropout,Lil Jimmy (Skit),2004,0:53,,Kanye West,Y,"Hey Jimmy, where you going?
I don't know where I'm goin'
My Dad died, and he left me his degrees
My mom would always say ""Dad, why don't you work?""
But he just kept learning
All the other kids' parents were working and saving up money for school
And I was actually in school all while my dad was in school!
He was so greedy with degrees, he took my degree
And now I'm just glad he left me these
Because all the regular homeless people have newspaper, and look what I have
These are documented
My father left them for me
And I'm going to leave them to my kids
I'm going to learn too
I'm going to get super smart, so I, too, can die without money
But I'll be the smartest dead guy!
Who has that?"
The College Dropout,Two Words,2004,4:26,"Mos Def, Freeway, The Boys Choir of Harlem","Kanye West, Dante Smith, Leslie Pridgen, Lou Wilson, Ric Wilson, Carlos Wilson",N,"[Intro: Kanye West]
We in the streets, playa, get ya mail
It's only two places you end up, either dead or in jail
Still nowhere to go, still nowhere to go

[Hook: Kanye West]
Now throw ya hands up hustlers, busters, boosters, hoes
Everybody, fuck that
Still nowhere to go, still nowhere to go

[Verse 1: Mos Def]
Two words, United States, no love, no breaks
Low brow, high stakes, crack smoke, black folks
Big Macs, fat folks, ecstasy capsules
Presidential scandals, everybody move
Two words, Mos Def, K. West, hot shit
Calm down, get back, ghetto people, got this
Game 'pon lock shit, gun 'pon cock shit
We won't stop shit, everybody move
Two words, BK, NY, Bed Stuy
Too harsh, too hungry, too many, that's why
These streets know game, can't ball, don't play
Heavy traffic, one lane, everybody move
Two words, Mos Def, Black Jack, hot shit
Calm down, get back, ghetto people, got this
Game 'pon lock, gun 'pon cock
We won't stop, everybody move

[Hook: Kanye West (w/ Harlem Boys Choir)]
Now throw ya hands up hustlers, busters, boosters, hoes (Throw your hands up high)
Everybody, fuck that
Still nowhere to go, still nowhere to go
And keep ya hands up hustlers
Busters, boosters, hoes ('Til they reach the sky)
Everybody, fuck that
Still nowhere to go, still nowhere to go

[Verse 2: Kanye West]
Two words, Chi-town, South Side, worldwide
Cause I rep that 'til I fuckin' die
One neck two chains, one waist two gats
One wall twenty plaques, dues paid, gimme that
I am limelight, Blueprint five mics
Go Getters rhyme like, should've been signed twice
Most imitated, Grammy nominated
Hotel accommodated, cheerleader prom-dated
Barbershop playa-hated, mom-and-pop bootlegged it
Felt like it rained 'til the roof caved in
Two words, Chi-town raised me crazy
So I live by two words: ""fuck you, pay me""
Screamin' ""Jesus save me""
You know how the game be
I can't let 'em change me
Cause on judgment day, you gon' blame me
Look, God, it's the same me
And I basically know now
We get racially profiled
'Cuffed up and hosed down, pimped up and ho'd down
Plus I got a whole city to hold down
From the bottom so the top's
The only place to go now

[Hook: Kanye West (w/ Harlem Boys Choir)]
Now throw ya hands up hustlers, busters, boosters, hoes (Throw your hands up high)
Oh, everybody, fuck that
Still nowhere to go, still nowhere to go

[Verse 3: Freeway]
Two words, free way, two letters, AR
Turn y'all rap niggas to two words, fast runners
Like Jackie Joyner, you better sleep with your burner
The heat skeet, blow a reef through ya car, my God
Two words, no guns, break arms
Break necks, break backs, Steven Seagal
Free, young boss, freshman of the Roc
With the beef in the pot Jay sent for his dogs
To brawl, forget ya squad, better fend for yourself
Have you screamin' out four words, ""send for the law"", uh
Two words, Freeway slightly retarded
Fuck around, throw a clip in ya artist, leave with his broad

[Outro: Mos Def (w/ Harlem Boys Choir)]
Red, white, blue, black (Throw your hands up)
Calm down, move back
Motherfuckers askin' ""who is that?""
You know it's the almighty Black Jack
Mos Def, K. West
Ghetto people get this shit off ya chest
North to the south, to the east, to the west
Black Jack Johnson, it's no contest
(High) And show it to 'em like"
The College Dropout,Through the Wire,2004,3:41,,"Kanye West, David Foster, Tom Keane, Cynthia Weil",N,"[Music Video]
[Produced by Kanye West]

[Intro]
Yo, Gee, they can't stop me from rappin', can they?
Can they, Hop?

[Hook]
Through the fire, to the limit, to the wall
For a chance to be with you, I'd gladly risk it all
Through the fire, through whatever, come what may
For a chance at loving you, I'd take it all the way
Right down to the wire, even through the fire

[Over Hook]
I spit it through the wire, man
There's too much stuff on my heart right now, man
I'd gladly risk it all right now
It's a life-or-death situation, man
Y'all, y'all don't really understand how I feel right now, man
It's your boy, Kanye to the…
Chi-Town, what's goin' on?

[Verse 1]
I drink a Boost for breakfast, an Ensure for dessert
Somebody ordered pancakes, I just sip the sizzurp
That right there could drive a sane man berserk
Not to worry, Mr. H-to-the-Izzo's back to work
How do you console my mom or give her light support
Tellin' her her son's on life support?
And just imagine how my girl feel
On the plane scared as hell that her guy look like Emmett Till
She was with me before the deal, she'd been tryna be mine
She a Delta, so she'd been throwin' that Dynasty sign
No use in me tryna be lyin', I been tryna be signed
Tryin' to be a millionaire, how I used two lifelines
In the same hospital where Biggie Smalls died
The doctor said I had blood clots, but I ain't Jamaican, man
Story on MTV and I ain't tryna make a band
I swear, this right here, history in the makin', man

[Hook]
Through the fire, to the limit, to the wall
For a chance to be with you, I'd gladly risk it all
Through the fire, through whatever, come what may
For a chance at loving you, I'd take it all the way
Right down to the wire, even through the fire

[Over Hook]
I really apologize for everything right now
If it's unclear at all, man
They got my mouth wired shut
For like… I dunno, the doctor said like six weeks
Y'know, he had, I had reconstructive surgery on my jaw
I looked in the mirror
And half my jaw was in the back of my mouth, man
I couldn't believe it
But I'm still here for y'all right now, man
This what I got to say right here, dawg
Yeah, turn me up, yeah, uh

[Verse 2]
What if somebody from the Chi' that was ill got a deal
On the hottest rap label around?
But he wasn't talkin' about coke and birds
It was more like spoken word
Except he's really puttin' it down?
And he explained the story
About how blacks came from glory
And what we need to do in the game
Good dude, bad night, right place, wrong time
In the blink of a eye his whole life changed
If you could feel how my face felt
You would know how Mase felt
Thank God I ain't too cool for the safe belt
I swear to God, driver two wanna sue
I got a lawyer for the case, to keep what's in my safe safe
My dawgs couldn't tell if I…
I looked like Tom Cruise in Vanilla Sky, it was televised
There's been an accident like GEICO
They thought I was burnt up like Pepsi did Michael
I must got a angel, ‘cause look how death missed his ass
Unbreakable, what, you thought they'd call me Mr. Glass?
Look back on my life like the Ghost of Christmas Past
Toys ""R"" Us where I used to spend that Christmas cash
And I still won't grow up, I'm a grown-ass kid
Swear I should be locked up for stupid shit that I did
But I'm a champion, so I turned tragedy to triumph
Make music that's fire, spit my soul through the wire

[Hook]
Through the fire, to the limit, to the wall
For a chance to be with you, I'd gladly risk it all
Through the fire, through whatever, come what may
For a chance at loving you, I'd take it all the way
Right down to the wire, even through the fire

[Outro Over Hook]
Y'know what I'm sayin'?
When the doctor told me I had, um
That I was gonna have to have a plate in my chin, I said
""Dawg, don't you realize I'll never make it on a plane now?""
""It's bad enough I got all this jewelry on!""
You can't be serious, man"
The College Dropout,Family Business,2004,4:38,,Kanye West,N,"[Intro]
How's your son? (all the things)
He made the team this year? (all, all, all the things things)
Aight, they said he wasn't tall enough
(...all all that glitters is not gold
And all gold is not reality
Real is what you lays on me)
Ma we here we gon' cook this Sunday ok?
That's a new girlfriend?

[Verse 1]
This is family business
And this is for the family that can't be with us
And this is for my cousin locked down, know the answer's in us
This why I spit it in my songs so sweet
Like a photo of your granny's picture
Now that you're gone it hit us
Super hard on Thanksgiving and Christmas, this can't be right
Yeah you heard the track I did man, ""This Can't Be Life""
Somebody please say grace so I can save face
And have a reason to cover my face
I even made you a plate, soul food, know how Granny do it
Monkey bread on the side, know how the family do it
When I brought it why the guard have to look all through it?
As kids we used to laugh
Who knew that life would move this fast?
Who knew I'd have to look at you through a glass?
And look, you tell me you ain't did it then you ain't did it
And if you did, then that's family business

[Hook]
And I don't care 'bout
(all the diamond rings all the diamond rings)
They don't mean a thing (all, all, all the things)
All these fancy things
I tell you that all is my weight and gold
(all that glitters is not gold, now gold is not reality)
Now all I know I know all these things
(real is what you lease on me)

[Verse 2]
This is family business
And this is for everybody standing with us
Come on, let's take a family Grammy picture
Abi, remember when they ain't believe in me?
Now she like ""See, that's my cousin on TV!""
Now, we gettin' it and we gon' make it
And they gon' hate it and I'm his favorite
I can't deny it, I'm a straight rider
But when we get together be electric slidin'
Grandma, get 'em shook up
Aw naw, don't open the photo book up
I got an Aunt Ruth that can't remember your name
But I bet them Polaroids'll send her down memory lane
You know that one auntie, you don't mean to be rude
But every holiday nobody eating her food
And you don't wanna stay there cause them your worst cousins
Got roaches at their crib like them your first cousins
Act like you ain't took a bath with your cousins
Fit 3 in the bed if it's 6 of y'all
I'm talkin' 'bout three by the head and three by the leg
But you ain't have to tell my girl I used to pee in the bed

[Interlude]
Rain, rain, rain go away
Let the sun come out and all the children say
Rain, rain, rain go away
Let the sun come out and all the children say

[Verse 3]
I woke up early this morning with a new state of mind
A creative way to rhyme without using knives and guns
Keep your nose out the sky, keep your heart to God
And keep your face to the risin' sun
All my niggas from the Chi, that's my family, dog
And my niggas ain't my guys, they my family, dog
I feel like one day you'll understand me, dog
You can still love your man and be manly, dog
You ain't got to get heated at every house warmin'
Sittin' here, grillin' people like George Foreman
Why Uncle Ray and Aunt Shiela always performin'?
The second she storm out then he storm in
Y'all gon' sit down, have a good time this reunion
And drink some wine like Communion
And act like everything fine and if it isn't
We ain't letting everybody in our family business

[Hook]
(all all all the diamond rings diamond rings)
They don't mean a thing (all, all, all the things)
They don't mean a thing (all, all, all the things)
(all all that glitters is not gold, now gold is not reality)
They don't mean a thing a thing
(all, all, all the things)
They don't mean a thing a thing a thing
I don't care what they don't mean a thing
(all, all, all the things) all these fancy things
I tell you that all is my weight and gold
All I know, I know all these things
All these things, all these things
All these things, all these things

[Outro]
CLK Mercedes Benz
All these things, all these things ...
All these things, all these things ...
All these things, all these things ...
A whole lotta money
All these things, all these things
All these things, all these things
All these things, all these things
Mommy and Daddy, will you please stop fighting?
All these things, all these things
All these things, (and I don't care why) all these things
All these things, all these things
All these things, all these things...
Let's get Stevie outta jail"
